Species,,Biome,,,,,,,,,,,,,,,
,Molecular weight,Tropical Forest,Standard Deviation,Temperate Forest,Standard Deviation,Boreal Forest,Standard Deviation,Savanna,Standard Deviation,Agricultural Waste ,Standard Deviation,Peat,Standard Deviation,,,,
C5H8 (isoprene),68,1.28E-01,1.95E-01,2.58E-01,3.15E-01,4.25E-01,3.73E-01,7.62E-02,6.11E-02,2.91E-01,2.33E-01,6.46E-01,5.33E-01,,,,
C10H16 (terpenes),136,,,9.04E-01,,3.16E+00,,3.11E-02,,5.67E-02,,2.41E-01,,,,,
C7H8 (toluene),92,2.60E-01,9.83E-02,4.31E-01,4.34E-01,1.54E+00,2.37E+00,1.09E-01,5.27E-02,1.87E-01,1.19E-01,7.83E-01,4.71E-01,,,,
C6H6 (benzene),78,3.85E-01,2.28E-01,5.09E-01,1.73E-01,7.51E-01,3.84E-01,2.20E-01,6.81E-02,2.42E-01,1.79E-01,1.32E+00,1.05E+00,,,,
C8H10 (xylene),106,1.30E-01,,9.74E-02,,1.34E-01,,2.20E-02,,4.66E-02,,3.27E-01,,,,,
Toluene_Lump,12,7.09E-01,,9.50E-01,,2.21E+00,,3.23E-01,,4.36E-01,,2.23E+00,,,,,
Higher_Alkenes,12,2.12E-01,,4.48E-01,,5.02E-01,,9.73E-02,,3.74E-01,,1.81E+00,,,,,
Higher_Alkanes,12,6.90E-02,,2.49E-01,,2.29E-01,,3.80E-02,,1.23E-01,,2.17E+00,,,,,
CH2O (formaldehyde),30,1.73E+00,1.01E+00,2.04E+00,4.20E-01,1.68E+00,8.18E-01,1.26E+00,8.63E-01,1.75E+00,6.17E-01,1.35E+00,4.33E-01,,,,
C2H4O (acetaldehyde),44,1.55E+00,,1.56E+00,6.24E-01,1.60E+00,7.01E-01,1.64E+00,1.05E+00,2.10E+00,9.35E-01,1.81E+00,1.07E+00,,,,
C3H6O (acetone),58,6.30E-01,,6.36E-01,3.23E-01,7.30E-01,6.07E-01,4.15E-01,2.32E-01,5.01E-01,3.27E-01,9.26E-01,3.81E-01,,,,
NH3 (ammonia),17,1.33E+00,1.06E+00,1.06E+00,6.74E-01,1.47E+00,1.33E+00,6.59E-01,3.39E-01,9.68E-01,5.48E-01,6.15E+00,6.23E+00,,,,
C2H6S (dms),62,1.35E-03,1.20E-03,1.58E-02,2.39E-02,3.59E-03,2.70E-03,1.33E-02,1.70E-02,1.41E-02,1.27E-02,2.96E-02,4.00E-02,,,,
HCN (hydrogen cyanide),27,4.23E-01,2.15E-01,4.93E-01,3.11E-01,9.26E-01,6.17E-01,4.10E-01,1.42E-01,3.21E-01,1.44E-01,4.68E+00,1.61E+00,,,,
HCOOH (formic acid),47,7.88E-01,8.94E-01,4.97E-01,3.61E-01,4.53E-01,1.83E-01,2.53E-01,9.76E-02,4.96E-01,2.21E-01,4.14E-01,2.29E-01,,,,
CH3COOH (acetic acid),60,3.05E+00,1.07E+00,2.51E+00,2.18E+00,3.38E+00,1.49E+00,3.76E+00,2.75E+00,2.65E+00,9.49E-01,5.50E+00,1.91E+00,,,,
MEK (methyl ethyl ketone / 2-butanone),72,5.00E-01,,1.69E-01,1.03E-01,1.05E-01,4.36E-02,1.40E-01,,2.51E-01,3.62E-01,2.57E-01,2.45E-01,,,,
CH3COCHO (methylglyoxal),72,,,5.27E-01,2.99E-01,4.82E-01,,6.42E-01,,1.12E+00,6.58E-01,1.94E-01,,,,,
HOCH2CHO (hydroxyacetaldehyde),60,2.84E+00,,5.73E-01,3.46E-01,7.40E-01,1.58E-01,7.26E-01,7.71E-01,1.61E+00,1.26E+00,1.52E+00,1.66E+00,,,,
CC ,,0.57,,0.54,,0.56,,0.54,,0.46,,0.69,,,,,
weighted mm of NMOC_g,,55.48,,80.13,,74.10,,69.17,,75.64,,72.46,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lumping Higher Alkenes & Alkanes:,,,,,,,,,,,,,,,,,
Higher Alkenes,1 butene,i butene,tr-2-butene,cis-2-butene,1 pentene,2 pentene,hexene,octene,,,,,,,,,
,C4H8,C4H8,C4H8,C4H8,C5H10,C5H10,C6H12,C8H16,,,,,,,,,
Molecular weight,56,56,56,56,70,70,84,112,,,,,,,,,
Carbon,48,48,48,48,60,60,72,96,,,,,,,,,
Conversion Factor,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,Lumped EF,,,,,,,,
trop forest,7.85E-02,1.10E-01,2.90E-02,2.44E-02,,5.20E-03,,,2.12E-01,,,,,,,,
temp forest,1.63E-01,1.22E-01,4.20E-02,3.41E-02,3.84E-02,4.72E-02,4.74E-02,2.86E-02,4.48E-01,,,,,,,,
borel forest,1.83E-01,8.47E-02,2.76E-02,2.04E-02,5.85E-02,7.53E-02,9.10E-02,4.58E-02,5.02E-01,,,,,,,,
sav,6.36E-02,2.40E-02,1.05E-02,8.35E-03,,7.00E-03,,,9.73E-02,,,,,,,,
agr waste,9.24E-02,1.57E-01,3.47E-02,3.02E-02,2.66E-02,4.23E-02,3.47E-02,1.83E-02,3.74E-01,,,,,,,,
peat,4.71E-01,5.84E-01,1.47E-01,1.17E-01,1.77E-01,2.33E-01,2.56E-01,1.26E-01,1.81E+00,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Higher Alkanes,n-butane,i-butane,n-pentane,i-pentane (me-butane),n-hexane,i-hexane,Heptane,,,,,,,,,,
